column,dtype,n,n_missing,pct_missing,n_unique,is_feature_candidate,is_global
slv_low_lag21,float64,9283,2330,0.25099644511472585,2229,True,True
slv_high_logret_21,float64,9283,2330,0.25099644511472585,4921,True,True
slv_volume_pct_21,float64,9283,2330,0.25099644511472585,4958,True,True
slv_adj_close_pct_21,float64,9283,2330,0.25099644511472585,4920,True,True
slv_close_logret_21,float64,9283,2330,0.25099644511472585,4919,True,True
slv_volume_logret_21,float64,9283,2330,0.25099644511472585,4958,True,True
slv_adj_close_lag21,float64,9283,2330,0.25099644511472585,2241,True,True
slv_close_pct_21,float64,9283,2330,0.25099644511472585,4920,True,True
slv_adj_close_logret_21,float64,9283,2330,0.25099644511472585,4919,True,True
slv_volume_lag21,float64,9283,2330,0.25099644511472585,4718,True,True
slv_high_pct_21,float64,9283,2330,0.25099644511472585,4917,True,True
slv_low_pct_21,float64,9283,2330,0.25099644511472585,4911,True,True
slv_open_lag21,float64,9283,2330,0.25099644511472585,2281,True,True
slv_open_pct_21,float64,9283,2330,0.25099644511472585,4910,True,True
slv_high_lag21,float64,9283,2330,0.25099644511472585,2289,True,True
slv_volume_dist_min63,float64,9283,2323,0.2502423785414198,4637,True,True
slv_volume_dist_max63,float64,9283,2323,0.2502423785414198,4682,True,True
slv_low_roll_mean63,float64,9283,2323,0.2502423785414198,6928,True,True
slv_low_roll_std63,float64,9283,2323,0.2502423785414198,6946,True,True
slv_volume_roll_std63,float64,9283,2323,0.2502423785414198,6960,True,True
slv_volume_roll_mean63,float64,9283,2323,0.2502423785414198,6958,True,True
slv_adj_close_roll_std63,float64,9283,2323,0.2502423785414198,6949,True,True
slv_adj_close_dist_min63,float64,9283,2323,0.2502423785414198,4244,True,True
slv_low_dist_min63,float64,9283,2323,0.2502423785414198,4286,True,True
slv_close_roll_mean63,float64,9283,2323,0.2502423785414198,6923,True,True
slv_low_dist_max63,float64,9283,2323,0.2502423785414198,4076,True,True
slv_close_roll_std63,float64,9283,2323,0.2502423785414198,6949,True,True
slv_close_dist_min63,float64,9283,2323,0.2502423785414198,4244,True,True
slv_close_dist_max63,float64,9283,2323,0.2502423785414198,4126,True,True
slv_high_roll_mean63,float64,9283,2323,0.2502423785414198,6910,True,True
slv_high_roll_std63,float64,9283,2323,0.2502423785414198,6941,True,True
slv_adj_close_dist_max63,float64,9283,2323,0.2502423785414198,4126,True,True
