regimen_mercado,n_periodos,oro_buyhold_return,buy_hold,h21_long_cash,clf_daily_long_cash,hysteresis_60_35,predret_long_cash,h21_long_short,clf_daily_long_short,predret_long_short
alcista_fuerte,3,0.16418918393592255,0.16418918393592255,0.17722457337893024,0.17722457337893024,0.1381501550776655,0.17722457337893024,0.19033448183603285,0.19033448183603285,0.19033448183603285
alcista_moderado,1,0.093447825060327,0.093447825060327,0.15993039882109206,0.15993039882109206,0.15993039882109206,0.15993039882109206,0.22760839771686547,0.22760839771686547,0.22760839771686547
lateral,2,0.03508180509177983,0.03508180509177983,0.058957414139372055,0.07152010614517401,0.0702811653222043,0.0702811653222043,0.08298623699046515,0.10884016740718128,0.10632162177299165
