strategy,capital_initial,capital_final,total_return,cagr,max_drawdown,hit_rate,time_in_market,n_position_changes,cost,slippage,start_date,end_date
buy_hold,1000000,1847233.020611965,0.8472330206119651,0.25238540212602234,-0.05731600260527281,0.02106318956870612,1.0,1,0.0,0.0,2022-08-07,2025-04-29
h21_long_cash,1000000,2121230.342179156,1.1212303421791558,0.31754442053523424,-0.023222007447475157,0.02106318956870612,0.47342026078234706,25,0.0,0.0,2022-08-07,2025-04-29
clf_daily_long_cash,1000000,2171660.662251346,1.171660662251346,0.32894587736118064,-0.002044904432017214,0.02106318956870612,0.47342026078234706,73,0.0,0.0,2022-08-07,2025-04-29
hysteresis_60_35,1000000,1957094.8610561173,0.9570948610561174,0.27920159984482074,-0.002044904432017214,0.01805416248746239,0.34704112337011034,52,0.0,0.0,2022-08-07,2025-04-29
predret_long_cash,1000000,2166589.283052464,1.1665892830524642,0.327806956035841,-0.002044904432017214,0.020060180541624874,0.6870611835506519,45,0.0,0.0,2022-08-07,2025-04-29
h21_long_short,1000000,2427362.569136506,1.427362569136506,0.38431642751565587,-0.023222007447475268,0.031093279839518557,1.0,26,0.0,0.0,2022-08-07,2025-04-29
clf_daily_long_short,1000000,2542779.2392252926,1.5427792392252924,0.4081000730784383,-0.002044904432017436,0.0320962888665998,1.0,74,0.0,0.0,2022-08-07,2025-04-29
predret_long_short,1000000,2530903.168561668,1.530903168561668,0.40568476823256616,-0.002340720153354181,0.031093279839518557,1.0,45,0.0,0.0,2022-08-07,2025-04-29
