strategy,periodo_presidencial,fecha_ini,fecha_fin,n,capital_ini_periodo,capital_fin_periodo,period_return,mean_daily_return,vol_daily_return,max_drawdown_period,time_in_market
buy_hold,Petro,2022-08-07,2025-04-29,997,1000000.0,1847233.020611965,0.8472330206119651,0.0006371080443868155,0.0066481656651966115,-0.05731600260527281,1.0
clf_daily_long_cash,Petro,2022-08-07,2025-04-29,997,1000000.0,2171660.662251346,1.171660662251346,0.0007973270695295876,0.006317977121673555,-0.002044904432017214,0.47342026078234706
clf_daily_long_short,Petro,2022-08-07,2025-04-29,997,1000000.0,2542779.2392252926,1.5427792392252924,0.0009575460946723599,0.006609584390010944,-0.002044904432017436,1.0
h21_long_cash,Petro,2022-08-07,2025-04-29,997,1000000.0,2121230.342179156,1.1212303421791558,0.000774035186432822,0.0063635602442485345,-0.023222007447475157,0.47342026078234706
h21_long_short,Petro,2022-08-07,2025-04-29,997,1000000.0,2427362.569136506,1.427362569136506,0.0009109623284788285,0.006616172258936238,-0.023222007447475268,1.0
hysteresis_60_35,Petro,2022-08-07,2025-04-29,997,1000000.0,1957094.8610561173,0.9570948610561174,0.0006898490669208503,0.005789335483683132,-0.002044904432017214,0.34704112337011034
predret_long_cash,Petro,2022-08-07,2025-04-29,997,1000000.0,2166589.283052464,1.1665892830524642,0.0007949793060859025,0.006317837925060016,-0.002044904432017214,0.6870611835506519
predret_long_short,Petro,2022-08-07,2025-04-29,997,1000000.0,2530903.168561668,1.530903168561668,0.0009528505677849896,0.006610263620606536,-0.002340720153354181,1.0
