accuracy,balanced_accuracy,precision_up,recall_up,f1_up,mcc,threshold,n_test,roc_auc,tn,fp,fn,tp,recall_not_up,block_id,test_start,test_end,horizon,feature_set,model,train_window_years,weight_strategy,cal_bacc,n_features,n_global_features
0.4673913043478261,0.47285714285714286,0.4326923076923077,0.5357142857142857,0.4787234042553192,-0.05454607891750538,0.5,184,0.47285714285714286,41,59,39,45,0.41,0,2020-05-01,2020-11-01,21,deterministic_baseline,Momentum_21,deterministic,deterministic,,1,0
0.6464088397790055,0.420863309352518,0.0,0.0,0.0,-0.20447020072268574,0.5,181,0.420863309352518,117,22,42,0,0.841726618705036,1,2020-11-01,2021-05-01,21,deterministic_baseline,Momentum_21,deterministic,deterministic,,1,0
0.782608695652174,0.6698802220274613,0.2682926829268293,0.5238095238095238,0.3548387096774194,0.2596069519016656,0.5,184,0.6698802220274612,133,30,10,11,0.8159509202453987,2,2021-05-01,2021-11-01,21,deterministic_baseline,Momentum_21,deterministic,deterministic,,1,0
0.34806629834254144,0.3446858124693176,0.2976190476190476,0.2976190476190476,0.2976190476190476,-0.31062837506136476,0.5,181,0.3446858124693177,38,59,59,25,0.3917525773195876,3,2021-11-01,2022-05-01,21,deterministic_baseline,Momentum_21,deterministic,deterministic,,1,0
0.7717391304347826,0.43558282208588955,0.0,0.0,0.0,-0.12883435582822086,0.5,184,0.43558282208588955,142,21,21,0,0.8711656441717791,4,2022-05-01,2022-11-01,21,deterministic_baseline,Momentum_21,deterministic,deterministic,,1,0
0.3370165745856354,0.33590225563909776,0.41379310344827586,0.34285714285714286,0.375,-0.324198125644432,0.5,181,0.33590225563909776,25,51,69,36,0.32894736842105265,5,2022-11-01,2023-05-01,21,deterministic_baseline,Momentum_21,deterministic,deterministic,,1,0
0.6739130434782609,0.3803680981595092,0.0,0.0,0.0,-0.18615047449253877,0.5,184,0.3803680981595092,124,39,21,0,0.7607361963190185,6,2023-05-01,2023-11-01,21,deterministic_baseline,Momentum_21,deterministic,deterministic,,1,0
0.3076923076923077,0.30822510822510824,0.3764705882352941,0.3047619047619048,0.3368421052631579,-0.37981002540981534,0.5,182,0.30822510822510824,24,53,73,32,0.3116883116883117,7,2023-11-01,2024-05-01,21,deterministic_baseline,Momentum_21,deterministic,deterministic,,1,0
0.34782608695652173,0.3345388788426763,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.3309222423146474,0.5,184,0.3345388788426763,19,60,60,45,0.24050632911392406,8,2024-05-01,2024-11-01,21,deterministic_baseline,Momentum_21,deterministic,deterministic,,1,0
0.48066298342541436,0.4779700540009818,0.44047619047619047,0.44047619047619047,0.44047619047619047,-0.04405989199803633,0.5,181,0.4779700540009818,50,47,47,37,0.5154639175257731,9,2024-11-01,2025-05-01,21,deterministic_baseline,Momentum_21,deterministic,deterministic,,1,0
0.45652173913043476,0.5,0.45652173913043476,1.0,0.6268656716417911,,0.5,184,0.5,0,100,0,84,0.0,0,2020-05-01,2020-11-01,21,deterministic_baseline,Momentum_63,deterministic,deterministic,,1,0
0.6243093922651933,0.4064748201438849,0.0,0.0,0.0,-0.22513243568940264,0.5,181,0.4064748201438849,113,26,42,0,0.8129496402877698,1,2020-11-01,2021-05-01,21,deterministic_baseline,Momentum_63,deterministic,deterministic,,1,0
0.5434782608695652,0.3067484662576687,0.0,0.0,0.0,-0.25899622539733164,0.5,184,0.3067484662576687,100,63,21,0,0.6134969325153374,2,2021-05-01,2021-11-01,21,deterministic_baseline,Momentum_63,deterministic,deterministic,,1,0
0.30939226519337015,0.3221649484536082,0.336,0.5,0.4019138755980861,-0.38372831884083347,0.5,181,0.32216494845360827,14,83,42,42,0.14432989690721648,3,2021-11-01,2022-05-01,21,deterministic_baseline,Momentum_63,deterministic,deterministic,,1,0
0.7228260869565217,0.40797546012269936,0.0,0.0,0.0,-0.15842222629643338,0.5,184,0.40797546012269936,133,30,21,0,0.8159509202453987,4,2022-05-01,2022-11-01,21,deterministic_baseline,Momentum_63,deterministic,deterministic,,1,0
0.5193370165745856,0.46578947368421053,0.56,0.8,0.6588235294117647,-0.0896323371188401,0.5,181,0.46578947368421053,10,66,21,84,0.13157894736842105,5,2022-11-01,2023-05-01,21,deterministic_baseline,Momentum_63,deterministic,deterministic,,1,0
0.5597826086956522,0.3159509202453988,0.0,0.0,0.0,-0.2496782017578028,0.5,184,0.3159509202453988,103,60,21,0,0.6319018404907976,6,2023-05-01,2023-11-01,21,deterministic_baseline,Momentum_63,deterministic,deterministic,,1,0
0.42857142857142855,0.3974025974025974,0.504,0.6,0.5478260869565217,-0.2185817705816796,0.5,182,0.39740259740259737,15,62,42,63,0.19480519480519481,7,2023-11-01,2024-05-01,21,deterministic_baseline,Momentum_63,deterministic,deterministic,,1,0
0.5,0.4506329113924051,0.5419354838709678,0.8,0.6461538461538462,-0.13412534699781306,0.5,184,0.4506329113924051,8,71,21,84,0.10126582278481013,8,2024-05-01,2024-11-01,21,deterministic_baseline,Momentum_63,deterministic,deterministic,,1,0
0.39226519337016574,0.4162371134020619,0.4144736842105263,0.75,0.5338983050847458,-0.2277646644681786,0.5,181,0.4162371134020619,8,89,21,63,0.08247422680412371,9,2024-11-01,2025-05-01,21,deterministic_baseline,Momentum_63,deterministic,deterministic,,1,0
0.532608695652174,0.5700000000000001,0.49411764705882355,1.0,0.6614173228346457,0.2630142022557628,0.5,184,0.5700000000000001,14,86,0,84,0.14,0,2020-05-01,2020-11-01,21,deterministic_baseline,MA_21_63,deterministic,deterministic,,1,0
0.6464088397790055,0.420863309352518,0.0,0.0,0.0,-0.20447020072268574,0.5,181,0.420863309352518,117,22,42,0,0.841726618705036,1,2020-11-01,2021-05-01,21,deterministic_baseline,MA_21_63,deterministic,deterministic,,1,0
0.6684782608695652,0.6884312007011393,0.21428571428571427,0.7142857142857143,0.32967032967032966,0.24682253876057997,0.5,184,0.6884312007011394,108,55,6,15,0.6625766871165644,2,2021-05-01,2021-11-01,21,deterministic_baseline,MA_21_63,deterministic,deterministic,,1,0
0.30386740331491713,0.31541482572410406,0.32786885245901637,0.47619047619047616,0.3883495145631068,-0.39277731825341117,0.5,181,0.31541482572410406,15,82,44,40,0.15463917525773196,3,2021-11-01,2022-05-01,21,deterministic_baseline,MA_21_63,deterministic,deterministic,,1,0
0.657608695652174,0.37116564417177916,0.0,0.0,0.0,-0.19520741848321804,0.5,184,0.3711656441717791,121,42,21,0,0.7423312883435583,4,2022-05-01,2022-11-01,21,deterministic_baseline,MA_21_63,deterministic,deterministic,,1,0
0.49171270718232046,0.4583333333333333,0.5511811023622047,0.6666666666666666,0.603448275862069,-0.08989208613014062,0.5,181,0.4583333333333333,19,57,35,70,0.25,5,2022-11-01,2023-05-01,21,deterministic_baseline,MA_21_63,deterministic,deterministic,,1,0
0.5543478260869565,0.3128834355828221,0.0,0.0,0.0,-0.25277155896283066,0.5,184,0.31288343558282206,102,61,21,0,0.6257668711656442,6,2023-05-01,2023-11-01,21,deterministic_baseline,MA_21_63,deterministic,deterministic,,1,0
0.4065934065934066,0.37142857142857144,0.4883720930232558,0.6,0.5384615384615384,-0.2796286636895852,0.5,182,0.37142857142857144,11,66,42,63,0.14285714285714285,7,2023-11-01,2024-05-01,21,deterministic_baseline,MA_21_63,deterministic,deterministic,,1,0
0.5,0.4506329113924051,0.5419354838709678,0.8,0.6461538461538462,-0.13412534699781306,0.5,184,0.4506329113924051,8,71,21,84,0.10126582278481013,8,2024-05-01,2024-11-01,21,deterministic_baseline,MA_21_63,deterministic,deterministic,,1,0
0.47513812154696133,0.49355670103092786,0.45985401459854014,0.75,0.5701357466063348,-0.014982254397530044,0.5,181,0.49355670103092786,23,74,21,63,0.23711340206185566,9,2024-11-01,2025-05-01,21,deterministic_baseline,MA_21_63,deterministic,deterministic,,1,0
0.45652173913043476,0.5,0.45652173913043476,1.0,0.6268656716417911,,0.5,184,0.5,0,100,0,84,0.0,0,2020-05-01,2020-11-01,21,deterministic_baseline,MA_63_126,deterministic,deterministic,,1,0
0.580110497237569,0.3776978417266187,0.0,0.0,0.0,-0.26436139579142287,0.5,181,0.3776978417266187,105,34,42,0,0.7553956834532374,1,2020-11-01,2021-05-01,21,deterministic_baseline,MA_63_126,deterministic,deterministic,,1,0
0.46195652173913043,0.2607361963190184,0.0,0.0,0.0,-0.3079003721893678,0.5,184,0.2607361963190184,85,78,21,0,0.5214723926380368,2,2021-05-01,2021-11-01,21,deterministic_baseline,MA_63_126,deterministic,deterministic,,1,0
0.4861878453038674,0.5038659793814433,0.4666666666666667,0.75,0.5753424657534246,0.008856645039890537,0.5,181,0.5038659793814433,25,72,21,63,0.25773195876288657,3,2021-11-01,2022-05-01,21,deterministic_baseline,MA_63_126,deterministic,deterministic,,1,0
0.5652173913043478,0.31901840490797545,0.0,0.0,0.0,-0.2465964637842973,0.5,184,0.31901840490797545,104,59,21,0,0.6380368098159509,4,2022-05-01,2022-11-01,21,deterministic_baseline,MA_63_126,deterministic,deterministic,,1,0
0.49171270718232046,0.4710526315789474,0.5575221238938053,0.6,0.5779816513761468,-0.05899929902469248,0.5,181,0.47105263157894733,26,50,42,63,0.34210526315789475,5,2022-11-01,2023-05-01,21,deterministic_baseline,MA_63_126,deterministic,deterministic,,1,0
0.592391304347826,0.7699386503067485,0.21875,1.0,0.358974358974359,0.3436541277348527,0.5,184,0.7699386503067485,88,75,0,21,0.5398773006134969,6,2023-05-01,2023-11-01,21,deterministic_baseline,MA_63_126,deterministic,deterministic,,1,0
0.521978021978022,0.4800865800865801,0.5642857142857143,0.7523809523809524,0.6448979591836734,-0.04670110929694324,0.5,182,0.48008658008658006,16,61,26,79,0.2077922077922078,7,2023-11-01,2024-05-01,21,deterministic_baseline,MA_63_126,deterministic,deterministic,,1,0
0.5706521739130435,0.5,0.5706521739130435,1.0,0.726643598615917,,0.5,184,0.5,0,79,0,105,0.0,8,2024-05-01,2024-11-01,21,deterministic_baseline,MA_63_126,deterministic,deterministic,,1,0
0.46408839779005523,0.5,0.46408839779005523,1.0,0.6339622641509434,,0.5,181,0.5,0,97,0,84,0.0,9,2024-11-01,2025-05-01,21,deterministic_baseline,MA_63_126,deterministic,deterministic,,1,0
0.5,0.4961904761904762,0.4523809523809524,0.4523809523809524,0.4523809523809524,-0.007619047619047619,0.5,184,0.49619047619047624,54,46,46,38,0.54,0,2020-05-01,2020-11-01,21,deterministic_baseline,TRM_Momentum_21,deterministic,deterministic,,1,0
0.569060773480663,0.5698869475847893,0.2857142857142857,0.5714285714285714,0.38095238095238093,0.11831303721052223,0.5,181,0.5698869475847893,79,60,18,24,0.5683453237410072,1,2020-11-01,2021-05-01,21,deterministic_baseline,TRM_Momentum_21,deterministic,deterministic,,1,0
0.4891304347826087,0.483494011101373,0.10752688172043011,0.47619047619047616,0.17543859649122806,-0.020994852289319004,0.5,184,0.4834940111013731,80,83,11,10,0.49079754601226994,2,2021-05-01,2021-11-01,21,deterministic_baseline,TRM_Momentum_21,deterministic,deterministic,,1,0
0.430939226519337,0.42599410898379975,0.379746835443038,0.35714285714285715,0.36809815950920244,-0.148836060442175,0.5,181,0.42599410898379975,48,49,54,30,0.4948453608247423,3,2021-11-01,2022-05-01,21,deterministic_baseline,TRM_Momentum_21,deterministic,deterministic,,1,0
0.33695652173913043,0.4598305579900672,0.10236220472440945,0.6190476190476191,0.17567567567567569,-0.05524461558850191,0.5,184,0.4598305579900672,49,114,8,13,0.3006134969325153,4,2022-05-01,2022-11-01,21,deterministic_baseline,TRM_Momentum_21,deterministic,deterministic,,1,0
0.2265193370165746,0.24793233082706767,0.2033898305084746,0.11428571428571428,0.14634146341463414,-0.5308143630756724,0.5,181,0.24793233082706767,29,47,93,12,0.3815789473684211,5,2022-11-01,2023-05-01,21,deterministic_baseline,TRM_Momentum_21,deterministic,deterministic,,1,0
0.46195652173913043,0.32296231375985973,0.03571428571428571,0.14285714285714285,0.05714285714285714,-0.22602658699652484,0.5,184,0.32296231375985973,82,81,18,3,0.5030674846625767,6,2023-05-01,2023-11-01,21,deterministic_baseline,TRM_Momentum_21,deterministic,deterministic,,1,0
0.4835164835164835,0.5108225108225108,0.5932203389830508,0.3333333333333333,0.4268292682926829,0.022846489365401037,0.5,182,0.5108225108225108,53,24,70,35,0.6883116883116883,7,2023-11-01,2024-05-01,21,deterministic_baseline,TRM_Momentum_21,deterministic,deterministic,,1,0
0.3532608695652174,0.3361663652802893,0.43636363636363634,0.45714285714285713,0.44651162790697674,-0.3307722403405328,0.5,184,0.3361663652802893,17,62,57,48,0.21518987341772153,8,2024-05-01,2024-11-01,21,deterministic_baseline,TRM_Momentum_21,deterministic,deterministic,,1,0
0.430939226519337,0.42998281786941583,0.39325842696629215,0.4166666666666667,0.4046242774566474,-0.1396918977072416,0.5,181,0.42998281786941583,43,54,49,35,0.44329896907216493,9,2024-11-01,2025-05-01,21,deterministic_baseline,TRM_Momentum_21,deterministic,deterministic,,1,0
0.6684782608695652,0.6864285714285714,0.5905511811023622,0.8928571428571429,0.7109004739336493,0.40164542278682835,0.5,184,0.6864285714285714,48,52,9,75,0.48,0,2020-05-01,2020-11-01,21,deterministic_baseline,Brent_Momentum_21,deterministic,deterministic,,1,0
0.39779005524861877,0.5746831106543336,0.26573426573426573,0.9047619047619048,0.41081081081081083,0.15481912997819777,0.5,181,0.5746831106543336,34,105,4,38,0.2446043165467626,1,2020-11-01,2021-05-01,21,deterministic_baseline,Brent_Momentum_21,deterministic,deterministic,,1,0
0.2717391304347826,0.443762781186094,0.09929078014184398,0.6666666666666666,0.1728395061728395,-0.08451104965558505,0.5,184,0.443762781186094,36,127,7,14,0.22085889570552147,2,2021-05-01,2021-11-01,21,deterministic_baseline,Brent_Momentum_21,deterministic,deterministic,,1,0
0.6077348066298343,0.6140770741286206,0.5619047619047619,0.7023809523809523,0.6243386243386243,0.2305432620800327,0.5,181,0.6140770741286206,51,46,25,59,0.5257731958762887,3,2021-11-01,2022-05-01,21,deterministic_baseline,Brent_Momentum_21,deterministic,deterministic,,1,0
0.532608695652174,0.3835816535203038,0.0547945205479452,0.19047619047619047,0.0851063829787234,-0.15133241139889525,0.5,184,0.3835816535203038,94,69,17,4,0.5766871165644172,4,2022-05-01,2022-11-01,21,deterministic_baseline,Brent_Momentum_21,deterministic,deterministic,,1,0
0.5359116022099447,0.5473057644110275,0.6329113924050633,0.47619047619047616,0.5434782608695652,0.09415250395541092,0.5,181,0.5473057644110276,47,29,55,50,0.618421052631579,5,2022-11-01,2023-05-01,21,deterministic_baseline,Brent_Momentum_21,deterministic,deterministic,,1,0
0.5217391304347826,0.7300613496932515,0.1926605504587156,1.0,0.3230769230769231,0.2977372877930371,0.5,184,0.7300613496932515,75,88,0,21,0.4601226993865031,6,2023-05-01,2023-11-01,21,deterministic_baseline,Brent_Momentum_21,deterministic,deterministic,,1,0
0.3956043956043956,0.3826839826839827,0.47572815533980584,0.4666666666666667,0.47115384615384615,-0.2338811177750057,0.5,182,0.3826839826839827,23,54,56,49,0.2987012987012987,7,2023-11-01,2024-05-01,21,deterministic_baseline,Brent_Momentum_21,deterministic,deterministic,,1,0
0.391304347826087,0.4086799276672694,0.44776119402985076,0.2857142857142857,0.3488372093023256,-0.18787721138552563,0.5,184,0.40867992766726935,42,37,75,30,0.5316455696202531,8,2024-05-01,2024-11-01,21,deterministic_baseline,Brent_Momentum_21,deterministic,deterministic,,1,0
