fecha,umap_abs_1,umap_abs_2,cluster_abs,umap_chg_1,umap_chg_2,cluster_chg
2000-04-02,-7.422801,2.9015276,5,3.6188939,5.4361043,6
2000-04-03,-7.9826427,3.0265236,5,3.619666,5.436711,6
2000-04-04,-7.980491,3.058309,5,3.6173403,5.4316373,6
2000-04-05,-7.976235,3.070885,5,3.6214464,5.4382653,6
2000-04-06,-7.97381,3.1017509,5,3.61768,5.4349833,6
2000-04-07,-7.9274545,3.208553,5,3.6138332,5.427664,6
2000-04-08,-7.8937917,3.171642,5,3.618866,5.434619,6
2000-04-09,-7.4161577,2.92601,5,3.623865,5.4393096,6
2000-04-10,-7.959875,3.153152,5,3.653503,5.453589,6
2000-04-11,-7.967829,3.141205,5,3.6350284,5.446055,6
2000-04-12,-7.9911723,3.114763,5,3.6256766,5.4408827,6
2000-04-13,-7.957072,3.1560872,5,3.6134484,5.431029,6
2000-04-14,-7.956902,3.1621559,5,3.6168628,5.434581,6
2000-04-15,-7.895481,3.160335,5,3.6229684,5.439022,6
2000-04-16,-7.4237537,2.9402642,5,3.6229768,5.438877,6
2000-04-17,-7.94026,3.1705732,5,3.6123104,5.4311247,6
2000-04-18,-7.950141,3.1735253,5,3.6103656,5.4289274,6
2000-04-19,-7.9040427,3.2080774,5,3.6060178,5.4176297,6
2000-04-20,-7.3841767,2.9333277,5,12.531799,3.2142212,3
2000-04-21,-7.387269,2.9212315,5,12.557548,3.197499,3
2000-04-22,-7.3976235,2.9291737,5,12.104379,3.8229048,3
2000-04-23,-7.399451,2.9327261,5,8.57488,4.875073,3
2000-04-24,-7.9444566,3.1690018,5,8.564418,4.869332,3
2000-04-25,-7.9624944,3.152082,5,8.536316,4.8763747,3
2000-04-26,-7.959254,3.1638734,5,8.5485,4.877246,3
2000-04-27,-7.9481153,3.176076,5,8.515933,4.880337,3
2000-04-28,-7.863165,3.2838988,5,8.527565,5.240437,3
2000-04-29,-7.867068,3.2424018,5,8.517953,5.2459273,3
2000-04-30,-7.4017444,2.926353,5,8.514476,5.2549596,3
2000-05-01,-7.341469,2.9495623,5,12.570273,3.6439373,3
2000-05-02,-7.8761697,3.2653923,5,4.2579885,6.008581,3
2000-05-03,-7.8475285,3.3393035,5,4.235749,6.0024815,3
2000-05-04,-7.817806,3.3732998,5,4.2343087,5.9971433,3
2000-05-05,-7.8378067,3.357999,5,4.22588,5.9925156,3
2000-05-06,-7.8123274,3.3456228,5,4.226856,5.9950137,3
