grupo,segmento,n,fecha_ini,fecha_fin,mean_h21_return,median_h21_return,std_h21_return,min_h21_return,max_h21_return,skew_h21_return,kurtosis_h21_return,positive_share_h21,zero_share_h21,acf1_h21,acf5_h21,daily_vol_annualized,daily_mean_annualized,sharpe_like_daily
periodo_presidencial,Duque,1461,2018-08-07,2022-08-06,0.0048564696974411365,0.0,0.025070727302987626,-0.05460994880301929,0.06573944243993814,0.5001775659359812,0.6043475724192731,0.34496919917864477,0.31006160164271046,0.9505916073331898,0.7536214693117572,0.08838680496942987,0.05827763636929362,0.6593476977638231
periodo_presidencial,Pastrana,949,2000-01-01,2002-08-06,0.002147109810134617,0.0,0.021191751468721157,-0.045961180790968684,0.05321533466041589,0.6140481757700799,0.20681645231245094,0.2655426765015806,0.3361433087460485,0.9518910878765904,0.7594449536755409,0.0738076539047705,0.025792496326807,0.3494555776029067
periodo_presidencial,Petro,1008,2022-08-07,2025-05-10,0.012828329016617113,0.0,0.02681528257172475,-0.04795880480660904,0.07903521846697004,0.6288349191617909,0.015275813761705948,0.439484126984127,0.310515873015873,0.9411979889161901,0.7071654610240179,0.10247291191102237,0.15342221373335893,1.4971977557012925
periodo_presidencial,Santos I,1461,2010-08-07,2014-08-06,0.001355747999584718,0.0,0.03080940983992508,-0.0700624997136908,0.11006646042521265,0.43417271329968293,1.4118181038650701,0.3737166324435318,0.31006160164271046,0.9522886172035858,0.7616486414536919,0.10682535991031522,0.016268975995016602,0.15229507308634532
periodo_presidencial,Santos II,1461,2014-08-07,2018-08-06,-0.0008170326510120739,0.0,0.026446534754624964,-0.07088558441523585,0.08933014605505836,0.22223619958899565,1.5546087088499108,0.3162217659137577,0.31006160164271046,0.9523354413174373,0.7618830144583144,0.09165513999319713,-0.009804391812144903,-0.10697045264316447
periodo_presidencial,Uribe I,1461,2002-08-07,2006-08-06,0.01012573942850445,0.0,0.0340125917565784,-0.12479798854885121,0.10076633818389458,-0.20671702235819409,3.150091880497825,0.47433264887063653,0.31006160164271046,0.94815450126917,0.7407263628561612,0.12269823812037144,0.1215088731420534,0.9903065847029423
periodo_presidencial,Uribe II,1461,2006-08-07,2010-08-06,0.009092954558214282,0.0,0.03712983589949163,-0.11338870179240051,0.10216817455885309,0.0067648086989434515,1.0356234737949364,0.41683778234086244,0.31006160164271046,0.9495210101548601,0.7475605143699768,0.132246281226784,0.1091154546985714,0.8250928017511023
cluster_abs,0,1217,2004-01-01,2009-12-30,0.007155145646009708,0.0,0.034816995824603174,-0.12479798854885121,0.10076633818389458,-0.2571402336826121,3.179562345832874,0.4486442070665571,0.30977814297452755,0.9503829843952883,0.7518978182213646,0.12262114300532082,0.0886448268845606,0.722916331653458
cluster_abs,1,1657,2010-01-01,2025-05-10,0.006395625426115066,0.0,0.026485448981474993,-0.06554830403376373,0.07903521846697004,0.4254389978086919,0.7205392949928862,0.3940856970428485,0.31442365721182863,0.9494319055713583,0.7477132930046372,0.09767289796666344,0.07887237108302214,0.8075154185549192
cluster_abs,2,1095,2001-01-01,2016-06-30,0.0073980211075760395,0.0,0.023750684714962115,-0.05267686184955395,0.07244957197867032,0.37724939611220554,0.2827774642296981,0.3835616438356164,0.3095890410958904,0.9477519040407778,0.7392672777500872,0.08641107916816602,0.0929194447356388,1.0753186469851481
cluster_abs,3,1186,2001-08-01,2022-05-31,-0.0015314973545425012,0.0,0.02775054522299281,-0.0700624997136908,0.07029785858642952,0.30959653576844093,0.46077171111033843,0.2715008431703204,0.30354131534569984,0.9472408593916306,0.7527883797273849,0.09479950052870006,-0.029992856875816175,-0.3163820137083528
cluster_abs,4,1343,2011-01-01,2020-03-08,0.007531367092532727,0.0,0.02770088954232092,-0.06207295688169716,0.11006646042521265,0.6754940839536645,2.1133524641509798,0.4221891288160834,0.31198808637379,0.9488555244506437,0.7442210113766893,0.09811925792088444,0.08427411851692174,0.8588947807256522
cluster_abs,5,1313,2000-01-01,2022-11-30,0.006709411465827657,0.0,0.0377670790362533,-0.11338870179240051,0.10216817455885309,0.09790068735620042,1.074105990740327,0.3518659558263519,0.32825590251332826,0.9508757496372893,0.7555675291278287,0.1333809761888992,0.08099225595636615,0.6072249451950469
cluster_abs,6,1451,2003-02-01,2024-08-31,0.004421444543702273,0.0,0.029152478544106197,-0.07088558441523585,0.08933014605505836,0.504145885930747,1.1388259944353263,0.3714679531357684,0.31013094417643006,0.9506496387583387,0.7540957308911129,0.09998465701737813,0.05957400912890592,0.595831509614035
cluster_chg,0,813,2000-03-03,2025-04-21,0.0009438086859220587,0.0,0.028741778524747342,-0.06554830403376373,0.09382796740287282,0.6743347351209291,1.9376117450264045,0.3050430504305043,0.35670356703567035,0.9084350323465241,0.5620937342045287,0.009326227530672134,-0.008156184388836097,-0.8745427196593699
cluster_chg,1,1133,2001-03-01,2025-05-10,0.0036868162318301183,0.0,0.0244158093150849,-0.0700624997136908,0.06620606057977209,0.34715050861702657,0.9247691487559404,0.3159752868490733,0.41306266548984993,0.9093311165748739,0.5763511765506644,0.13986676674047288,-0.2927265497204444,-2.092895664511982
cluster_chg,2,634,2001-08-01,2025-03-20,0.011684855452394324,0.0,0.027619358917091642,-0.05591407373017558,0.10216817455885309,0.7753912860733069,1.8601727899681997,0.41798107255520506,0.40063091482649843,0.8979649597334143,0.5043248579262722,0.07536212720687116,0.09192348135259606,1.2197569888156625
cluster_chg,3,4243,2000-01-01,2025-04-29,0.005400581334413249,0.0,0.031536245689016446,-0.12479798854885121,0.11006646042521265,0.3313304272831655,1.2636020690239227,0.4124440254536884,0.21187838793306624,0.909341649817952,0.5780226368129276,0.0918693228910125,0.0561836656667631,0.611560680962192
cluster_chg,4,809,2002-05-31,2023-06-01,0.009717202039352257,0.0,0.031152211230714693,-0.12479798854885121,0.08046921186888208,-0.5800333482083049,3.2072072835343786,0.43510506798516685,0.37082818294190356,0.8645645557783147,0.5407532658942145,0.029567988799029263,0.02334707264757351,0.7896063816264707
cluster_chg,5,449,2007-01-01,2023-07-20,-0.0036116094302238682,0.0,0.02208887177854155,-0.07088558441523585,0.04663147348408891,-0.9389908176029725,2.2246919291125837,0.3028953229398664,0.40311804008908686,0.9115925098238244,0.55772758238428,0.08245786774681703,0.061774494492546975,0.7491643451443909
cluster_chg,6,1181,2000-01-22,2025-04-20,0.007978401438334436,0.0,0.032172892362941824,-0.12479798854885121,0.11006646042521265,-0.031078881666629,2.9752797159849536,0.3386960203217612,0.42760372565622357,0.8897570965618056,0.5107606863438325,0.17658218217046281,0.5128589645802685,2.9043641791966444
dd_lag1_dd_clasificacion,Indicios parciales,4879,2005-01-01,2025-05-10,0.005299084561828147,0.0,0.03272145511752645,-0.12479798854885121,0.10216817455885309,0.14449639609527679,1.8298597592046337,0.36626357860217257,0.31092436974789917,0.9510937937633488,0.7555938311076562,0.1147476994562233,0.06348205094981338,0.553231578939254
dd_lag1_dd_clasificacion,Probable enfermedad holandesa,365,2011-01-01,2011-12-31,0.0099232166749059,0.009093909583746916,0.0369590910753479,-0.06207295688169716,0.11006646042521265,0.5019923633101934,1.5370541562980988,0.5178082191780822,0.3095890410958904,0.9489286223562501,0.7496724400673582,0.1323637363180464,0.11907860009887083,0.8996316016098718
dd_lag1_dd_clasificacion,Sin clasificación,366,2000-01-01,2000-12-31,-0.0026578428556079275,0.0,0.022436220964653225,-0.045961180790968684,0.05321533466041589,0.7265702473062947,0.8352155004615658,0.1721311475409836,0.36885245901639346,0.9517090083919995,0.7600729259584781,0.07834774136807665,-0.03198149540227401,-0.40819932832556555
dd_lag1_dd_clasificacion,Sin evidencia suficiente,3652,2001-01-01,2022-12-31,0.006140745604337985,0.0,0.025842427247024485,-0.07088558441523585,0.08933014605505836,0.32654810583374355,0.9478196262204985,0.40251916757940853,0.3099671412924425,0.9496906511953905,0.7492482716154393,0.09189694123511398,0.0736889472520558,0.8018650703892977
