embedding,regime_version,method,metric,n_neighbors,min_dist,n_clusters,silhouette,calinski_harabasz,davies_bouldin,nmi_dutch_disease,nmi_policy_stance,structural_silhouette_score,sample_size
chg,umap_k6_7_structural,UMAP,euclidean,15,0.0,7,0.43315193,1813.6426,0.8360932040983864,0.023938146830719743,0.06327146134858307,0.4430697987300687,3000
chg,umap_k6_7_structural,UMAP,euclidean,15,0.0,6,0.4285392,1831.6472,0.8310979577742675,0.021058758437214203,0.06557840060916095,0.43825584054257793,3000
chg,umap_k6_7_structural,UMAP,euclidean,30,0.05,6,0.41378164,2330.4272,0.7203505317049018,0.027623475886135243,0.13638267155372294,0.43156343145211096,3000
chg,umap_k6_7_structural,UMAP,euclidean,45,0.0,7,0.40489152,2475.7197,0.7127494226146442,0.02524952229865738,0.11752110886225385,0.4204310599696257,3000
chg,umap_k6_7_structural,UMAP,euclidean,75,0.0,7,0.40137824,2487.0337,0.6453813445631456,0.03511175326269942,0.10525423603815437,0.4171704307548262,3000
chg,umap_k6_7_structural,UMAP,euclidean,30,0.1,7,0.40277246,1756.396,0.7921344277756078,0.01613459743705081,0.11386927956593247,0.41657957397969786,3000
chg,umap_k6_7_structural,UMAP,euclidean,75,0.05,6,0.40325367,2148.1047,0.6594201958873763,0.031658883211581584,0.08359663472872475,0.41636217046175084,3000
chg,umap_k6_7_structural,UMAP,euclidean,45,0.0,6,0.3985304,2241.1323,0.7052414644867214,0.027583722266036226,0.12893473862991164,0.41556142604177904,3000
chg,umap_k6_7_structural,UMAP,euclidean,45,0.1,7,0.40015838,2092.607,0.6662320837911585,0.027477937198381274,0.10955207715863753,0.41523527379725367,3000
chg,umap_k6_7_structural,UMAP,euclidean,30,0.0,6,0.4046935,2051.0781,0.7165446701306957,0.0126716442478268,0.0737117518511357,0.4139654359309454,3000
chg,umap_k6_7_structural,UMAP,euclidean,15,0.05,7,0.4007214,2003.8512,0.795668404666035,0.019245575014650736,0.07049897819937546,0.41065813504831616,3000
chg,umap_k6_7_structural,UMAP,euclidean,75,0.05,7,0.38816443,2304.2563,0.6519085826112466,0.04137372186481255,0.12373745285007265,0.40674423442143387,3000
chg,umap_k6_7_structural,UMAP,euclidean,75,0.0,6,0.390704,2332.1194,0.7307537209386578,0.033744113322325464,0.0971504560889542,0.40548066856389403,3000
chg,umap_k6_7_structural,UMAP,euclidean,75,0.1,7,0.38879436,2197.745,0.6676209690792518,0.035522963897346264,0.10386904978286028,0.40450971210790143,3000
chg,umap_k6_7_structural,UMAP,euclidean,15,0.05,6,0.39404586,2023.3414,0.846769063482742,0.019685551459273906,0.06443147825076669,0.40344184011923934,3000
chg,umap_k6_7_structural,UMAP,euclidean,15,0.1,6,0.39205557,1825.7654,0.8508858997758829,0.022810184122132485,0.07832169222601464,0.40330926792017546,3000
chg,umap_k6_7_structural,UMAP,euclidean,45,0.05,7,0.38213956,2305.144,0.7762317791847307,0.026995611473722675,0.12938548196228053,0.3991274534777723,3000
chg,umap_k6_7_structural,UMAP,euclidean,30,0.0,7,0.38746607,2080.1323,0.6593529182865394,0.01968760421907114,0.08370597237157246,0.3987898109062118,3000
chg,umap_k6_7_structural,UMAP,euclidean,45,0.05,6,0.3777055,2216.5876,0.7340874909177156,0.03144453191673654,0.16004011122182513,0.3984262053406928,3000
chg,umap_k6_7_structural,UMAP,euclidean,30,0.05,7,0.3814204,2351.645,0.7313719149826182,0.02641284148377936,0.12435951115610568,0.39781828105712586,3000
chg,umap_k6_7_structural,UMAP,euclidean,45,0.1,6,0.3782864,2022.385,0.6784265579394503,0.02911489061735077,0.11086403136673044,0.39374002822593396,3000
chg,umap_k6_7_structural,UMAP,euclidean,75,0.1,6,0.3780521,2122.7354,0.8604309061237293,0.02856634220070507,0.1027984274984574,0.39261687971799775,3000
chg,umap_k6_7_structural,UMAP,euclidean,45,0.25,7,0.36738744,2086.1482,0.678345994835572,0.03869365743908199,0.1252151988535344,0.3857130122821148,3000
chg,umap_k6_7_structural,UMAP,euclidean,75,0.25,7,0.36878848,2265.3977,0.7812001549983314,0.03462684565335131,0.09185555225362863,0.38316806283203253,3000
chg,umap_k6_7_structural,UMAP,euclidean,45,0.25,6,0.36276144,2034.5956,0.9174615527624207,0.018699463108044018,0.11955762412185986,0.3775221197713064,3000
chg,umap_k6_7_structural,UMAP,euclidean,30,0.25,7,0.36597595,1918.9833,0.7510956962356043,0.025250218329741465,0.07560748273863067,0.37732422721129727,3000
chg,umap_k6_7_structural,UMAP,euclidean,75,0.25,6,0.35845882,2147.4888,0.8633311238790715,0.03692908083434772,0.12750145960454726,0.37674832509076434,3000
chg,umap_k6_7_structural,UMAP,euclidean,15,0.25,7,0.3630031,1761.4637,0.837597404317625,0.020458179722505975,0.08204292018588076,0.3742761239021196,3000
chg,umap_k6_7_structural,UMAP,euclidean,30,0.1,6,0.3539043,1668.7772,0.8193980964837463,0.01618410353002884,0.10332634002901418,0.36666455642098605,3000
chg,umap_k6_7_structural,UMAP,euclidean,30,0.25,6,0.35236987,1885.7179,0.853420232190582,0.01881208009563039,0.09056029706391192,0.3642477164365408,3000
chg,umap_k6_7_structural,UMAP,euclidean,15,0.25,6,0.35146174,1753.7898,0.8600512737696634,0.018150755562030736,0.05820282978521072,0.3600046346608329,3000
chg,umap_k6_7_structural,UMAP,euclidean,15,0.1,7,0.34345993,1859.9813,0.8859857584974975,0.027295187173006594,0.06153493153302797,0.35370770522545436,3000
