feature,loading_x,loading_y,loading_norm
dtf,-0.5449787810726424,0.15543826560983096,0.5667123840496301
precio_oro,0.5151123173201622,-0.2071963993336287,0.5552216200327289
demanda_energetica,0.5034249704467476,-0.14430771556778893,0.5236997399671901
tipm,-0.46961379221074606,0.22075335912096658,0.5189115140346648
precio_cafe_centusd,0.48358317238827037,-0.08516014506552197,0.49102437304545726
inflacion_sin_alimentos,-0.35936507546993524,0.1522367849140612,0.3902810476419299
precio_brent,0.35803504004355907,-0.06296041716932253,0.36352868391521465
dd_lag1_dd_score,0.3177041265140348,-0.07102429830836639,0.3255462531718675
precio_bolsa_nacional_energetica,0.17188464745411333,-0.12483485722579339,0.21243369226421935
tipm_change_30,0.12510939589329464,0.14929388208126276,0.19478455833992367
trm,0.15304552903466,-0.014000161546984285,0.15368454210115154
