feature,loading_x,loading_y,loading_norm
dd_lag1_dd_score_chg21_for_biplot,-0.13013185709117947,-0.30269604747865797,0.32948322778132594
precio_oro_chg21_for_biplot,-0.10240876788364371,-0.24840242557902814,0.2686844259963547
inflacion_sin_alimentos_chg21_for_biplot,-0.14660386495512912,0.16326697437620608,0.21942834397985705
tipm_chg21_for_biplot,-0.0506402555518688,0.17152640580076703,0.1788455852664191
precio_cafe_centusd_chg21_for_biplot,0.028937254626392073,-0.14700134032401255,0.1498224240972252
tipm_change_30_chg21_for_biplot,-0.07866587471234304,0.12081988096225137,0.1441726863174528
demanda_energetica_chg21_for_biplot,-0.10371052366811172,0.035459938219464,0.10960510908731473
trm_chg21_for_biplot,-0.08825332204866936,0.02670779406328265,0.09220604707042193
precio_bolsa_nacional_energetica_chg21_for_biplot,0.05253933907800635,-0.06888871535066424,0.08663738946562603
precio_brent_chg21_for_biplot,-0.01374533112637351,0.05605059584908387,0.057711380357872134
dtf_chg21_for_biplot,0.017623185771068126,0.032127400802724575,0.036643506369621416
